2.923294307019481e-05,Kandy Proper,12/26/2019,12/27/2019
4.874119039013025e-05,Kandy Proper,12/27/2019,12/28/2019
0.000243574,Kandy Proper,12/28/2019,12/29/2019
0.000168347,Kandy Proper,12/29/2019,12/30/2019
0.000140688,Kandy Proper,12/30/2019,12/31/2019
-1.10E-05,Kandy Proper,12/31/2019,1/1/2020
7.155854597694045e-05,Kandy Proper,1/1/2020,1/2/2020
3.4902131511479535e-05,Kandy Proper,1/2/2020,1/3/2020
0.000123012,Kandy Proper,1/3/2020,1/4/2020
0.000164888,Kandy Proper,1/4/2020,1/5/2020
0.000153856,Kandy Proper,1/5/2020,1/6/2020
0.000138995,Kandy Proper,1/6/2020,1/7/2020
2.208422988999331e-05,Kandy Proper,1/7/2020,1/8/2020
5.9849775620916735e-06,Kandy Proper,1/8/2020,1/9/2020
0.000159308,Kandy Proper,1/9/2020,1/10/2020
6.494334061404368e-05,Kandy Proper,1/10/2020,1/11/2020
-0.000101423,Kandy Proper,1/11/2020,1/12/2020
8.98590430574081e-05,Kandy Proper,1/12/2020,1/13/2020
0.000255274,Kandy Proper,1/13/2020,1/14/2020
7.213411316676246e-05,Kandy Proper,1/14/2020,1/15/2020
6.347479632876642e-06,Kandy Proper,1/15/2020,1/16/2020
-2.51E-06,Kandy Proper,1/16/2020,1/17/2020
,Kandy Proper,1/17/2020,1/18/2020
4.245150261323624e-06,Kandy Proper,1/18/2020,1/19/2020
6.611775819286781e-05,Kandy Proper,1/19/2020,1/20/2020
8.156279331884199e-05,Kandy Proper,1/20/2020,1/21/2020
0.000108243,Kandy Proper,1/21/2020,1/22/2020
,Kandy Proper,1/22/2020,1/23/2020
1.579852093386877e-05,Kandy Proper,1/23/2020,1/24/2020
2.5639344712949608e-05,Kandy Proper,1/24/2020,1/25/2020
0.000128228,Kandy Proper,1/25/2020,1/26/2020
8.292953115424783e-05,Kandy Proper,1/26/2020,1/27/2020
-1.29E-05,Kandy Proper,1/27/2020,1/28/2020
0.000226189,Kandy Proper,1/28/2020,1/29/2020
0.000150066,Kandy Proper,1/29/2020,1/30/2020
0.000199334,Kandy Proper,1/30/2020,1/31/2020
0.000236035,Kandy Proper,1/31/2020,2/1/2020
4.147988255400665e-05,Kandy Proper,2/1/2020,2/2/2020
0.000110181,Kandy Proper,2/2/2020,2/3/2020
8.359787684691174e-05,Kandy Proper,2/3/2020,2/4/2020
0.000470013,Kandy Proper,2/4/2020,2/5/2020
3.033703627091292e-05,Kandy Proper,2/5/2020,2/6/2020
0.00047833,Kandy Proper,2/6/2020,2/7/2020
0.000188592,Kandy Proper,2/7/2020,2/8/2020
0.000206615,Kandy Proper,2/8/2020,2/9/2020
0.000209923,Kandy Proper,2/9/2020,2/10/2020
0.000101215,Kandy Proper,2/10/2020,2/11/2020
0.00016611,Kandy Proper,2/11/2020,2/12/2020
,Kandy Proper,2/12/2020,2/13/2020
7.985907723195851e-05,Kandy Proper,2/13/2020,2/14/2020
2.80674982805179e-05,Kandy Proper,2/14/2020,2/15/2020
2.8557976474641306e-05,Kandy Proper,2/15/2020,2/16/2020
5.939227088696713e-05,Kandy Proper,2/16/2020,2/17/2020
-2.99E-05,Kandy Proper,2/17/2020,2/18/2020
8.477630699895465e-05,Kandy Proper,2/18/2020,2/19/2020
8.624971456350402e-05,Kandy Proper,2/19/2020,2/20/2020
0.000109136,Kandy Proper,2/20/2020,2/21/2020
9.951467357187598e-05,Kandy Proper,2/21/2020,2/22/2020
,Kandy Proper,2/22/2020,2/23/2020
,Kandy Proper,2/23/2020,2/24/2020
7.92462013230872e-05,Kandy Proper,2/24/2020,2/25/2020
2.8521831085546316e-05,Kandy Proper,2/25/2020,2/26/2020
3.690094368802118e-05,Kandy Proper,2/26/2020,2/27/2020
8.417925604034724e-05,Kandy Proper,2/27/2020,2/28/2020
0.000110609,Kandy Proper,2/28/2020,2/29/2020
0.00012775,Kandy Proper,2/29/2020,3/1/2020
2.282981443920495e-05,Kandy Proper,3/1/2020,3/2/2020
0.000251568,Kandy Proper,3/2/2020,3/3/2020
0.000250974,Kandy Proper,3/3/2020,3/4/2020
0.000164851,Kandy Proper,3/4/2020,3/5/2020
0.000400088,Kandy Proper,3/5/2020,3/6/2020
0.000409277,Kandy Proper,3/6/2020,3/7/2020
0.000243799,Kandy Proper,3/7/2020,3/8/2020
0.0001216,Kandy Proper,3/8/2020,3/9/2020
9.108401704156443e-05,Kandy Proper,3/9/2020,3/10/2020
0.000179662,Kandy Proper,3/10/2020,3/11/2020
0.000128628,Kandy Proper,3/11/2020,3/12/2020
0.000172729,Kandy Proper,3/12/2020,3/13/2020
0.000212343,Kandy Proper,3/13/2020,3/14/2020
0.000299052,Kandy Proper,3/14/2020,3/15/2020
8.707282150456954e-05,Kandy Proper,3/15/2020,3/16/2020
7.012736708837104e-05,Kandy Proper,3/16/2020,3/17/2020
,Kandy Proper,3/17/2020,3/18/2020
,Kandy Proper,3/18/2020,3/19/2020
0.000122429,Kandy Proper,3/19/2020,3/20/2020
7.542810292997175e-05,Kandy Proper,3/20/2020,3/21/2020
0.000253044,Kandy Proper,3/21/2020,3/22/2020
0.000127078,Kandy Proper,3/22/2020,3/23/2020
0.000183834,Kandy Proper,3/23/2020,3/24/2020
7.428871762571976e-05,Kandy Proper,3/24/2020,3/25/2020
0.000162357,Kandy Proper,3/25/2020,3/26/2020
0.000300243,Kandy Proper,3/26/2020,3/27/2020
